Regulatory models must handle data sovereignty,<object> Regulatory models <relationship> must handle <object> data sovereignty.,RegulatoryModels,mustHandle,DataSovereignty,
Regulatory models must handle cross-border slicing SLAs,<object> Regulatory models <relationship> must handle <object> cross-border slicing SLAs.,RegulatoryModels,mustHandle,CrossBorderSlicingSLAs,
Slice descriptors are central to operator interoperability,<object> Slice descriptors <relationship> are <object> central to operator interoperability.,SliceDescriptors,are,CentralToOperatorInteroperability,
5G slicing enables dynamic per-slice traffic treatment,<object> 5G slicing <relationship> enables <object> dynamic per-slice traffic treatment.,5GSlicing,enables,DynamicPerSliceTrafficTreatment,
NWDAF exposes per-slice KPIs,<object> NWDAF <relationship> exposes <object> per-slice KPIs.,NWDAF,exposes,PerSliceKPIs,
NWDAF employs a consumer–producer model,<object> NWDAF <relationship> employs <object> consumer–producer model.,NWDAF,employs,ConsumerProducerModel,
Consumer–producer model uses standardized interfaces,<object> Consumer–producer model <relationship> uses <object> standardized interfaces.,ConsumerProducerModel,uses,StandardizedInterfaces,
Analytics functions include historical trend analysis,<object> Analytics functions <relationship> include <object> historical trend analysis.,AnalyticsFunctions,include,HistoricalTrendAnalysis,
Analytics functions include predictive modeling,<object> Analytics functions <relationship> include <object> predictive modeling.,AnalyticsFunctions,include,PredictiveModeling,
Analytics functions include anomaly detection,<object> Analytics functions <relationship> include <object> anomaly detection.,AnalyticsFunctions,include,AnomalyDetection,
Analytics functions include QoS sustainability reports,<object> Analytics functions <relationship> include <object> QoS sustainability reports.,AnalyticsFunctions,include,QoSSustainabilityReports,
NWDAF enables real-time regulatory monitoring of net neutrality compliance,<object> NWDAF <relationship> enables <object> real-time regulatory monitoring of net neutrality compliance.,NWDAF,enables,RealTimeRegulatoryMonitoringOfNetNeutralityCompliance,
Real-time regulatory monitoring of net neutrality compliance is based on slice-level transparency,<object> Real-time regulatory monitoring of net neutrality compliance <relationship> is based on <object> slice-level transparency.,RealTimeRegulatoryMonitoringOfNetNeutralityCompliance,isBasedOn,SliceLevelTransparency,
Deployment options include SNPN,<object> Deployment options <relationship> include <object> SNPN.,DeploymentOptions,include,SNPN,
Deployment options include PNI-NPN,<object> Deployment options <relationship> include <object> PNI-NPN.,DeploymentOptions,include,PNINPN,
Deployment options include hybrid models,<object> Deployment options <relationship> include <object> hybrid models.,DeploymentOptions,include,HybridModels,
Hybrid models use shared RAN,<object> Hybrid models <relationship> use <object> shared RAN.,HybridModels,use,SharedRAN,
Hybrid models use TSN integration,<object> Hybrid models <relationship> use <object> TSN integration.,HybridModels,use,TSNIntegration,
Security zones enable dynamic isolation of traffic within slices,<object> Security zones <relationship> enable <object> dynamic isolation of traffic within slices.,SecurityZones,enable,DynamicIsolationOfTrafficWithinSlices,
VLAN-based segmentation enables dynamic isolation of traffic within slices,<object> VLAN-based segmentation <relationship> enables <object> dynamic isolation of traffic within slices.,VLANBasedSegmentation,enables,DynamicIsolationOfTrafficWithinSlices,
Operator policy defines tenant-customizable parameters,<object> Operator policy <relationship> defines <object> tenant-customizable parameters.,OperatorPolicy,defines,TenantCustomizableParameters,
Use-case requirements include latency,<object> Use-case requirements <relationship> include <object> latency.,UseCaseRequirements,include,Latency,
Use-case requirements include reliability,<object> Use-case requirements <relationship> include <object> reliability.,UseCaseRequirements,include,Reliability,
Use-case requirements are qualitatively mapped to NPN architecture types,<object> Use-case requirements <relationship> are qualitatively mapped to <object> NPN architecture types.,UseCaseRequirements,areQualitativelyMappedTo,NPNArchitectureTypes,
Slice access can be geographically constrained using TAC,<object> Slice access <relationship> can be geographically constrained using <object> TAC.,SliceAccess,canBeGeographicallyConstrainedUsing,TAC,
Slice access can be geographically constrained using other location identifiers,<object> Slice access <relationship> can be geographically constrained using <object> other location identifiers.,SliceAccess,canBeGeographicallyConstrainedUsing,OtherLocationIdentifiers,
Edge cloud and TSN functions are co-located based on geo-proximity,<object> Edge cloud and TSN functions <relationship> are co-located based on <object> geo-proximity.,EdgeCloudAndTSNFunctions,areCoLocatedBasedOn,GeoProximity,
Dynamic traffic-driven forwarding rules support adaptive slice isolation,<object> Dynamic traffic-driven forwarding rules <relationship> support <object> adaptive slice isolation.,DynamicTrafficDrivenForwardingRules,support,AdaptiveSliceIsolation,
Dynamic traffic-driven forwarding rules support performance optimization,<object> Dynamic traffic-driven forwarding rules <relationship> support <object> performance optimization.,DynamicTrafficDrivenForwardingRules,support,PerformanceOptimization,
PCF enforces Maximum Slice Data Rate,<object> PCF <relationship> enforces <object> Maximum Slice Data Rate.,PCF,enforces,MaximumSliceDataRate,
PCF rejects SM Policy establishment,<object> PCF <relationship> rejects <object> SM Policy establishment.,PCF,rejects,SMPolicyEstablishment,
PCF rejects PDU session establishment,<object> PCF <relationship> rejects <object> PDU session establishment.,PCF,rejects,PDUSessionEstablishment,
Rejection occurs if slice budget is exceeded,<object> Rejection of SM Policy or PDU session establishment <relationship> occurs if <object> slice budget is exceeded.,RejectionOfSMPolicyOrPDUSessionEstablishment,occursIf,SliceBudgetIsExceeded,
PCF uses slice usage data,<object> PCF <relationship> uses <object> slice usage data.,PCF,uses,SliceUsageData,
Usage data is defined by volume,<object> Usage data <relationship> is defined by <object> volume.,UsageData,isDefinedBy,Volume,
Usage data is defined by duration,<object> Usage data <relationship> is defined by <object> duration.,UsageData,isDefinedBy,Duration,
Slice usage data is provided by NWDAF integration,<object> Slice usage data <relationship> is provided by <object> NWDAF integration.,SliceUsageData,isProvidedBy,NWDAFIntegration,
PCF deducts used capacity from UDR via Session-AMBR,<object> PCF <relationship> deducts used capacity from <object> UDR via Session-AMBR.,PCF,deductsUsedCapacityFrom,UDRViaSessionAMBR,
PCF rejects flow setup due to exceeded data rate,<object> PCF <relationship> rejects <object> flow setup due to exceeded data rate.,PCF,rejects,FlowSetupDueToExceededDataRate,
"SMF returns HTTP 403 ""EXCEEDED_SLICE_DATA_RATE"" to UE","<object> SMF <relationship> returns <object> HTTP 403 ""EXCEEDED_SLICE_DATA_RATE"" to UE.",SMF,returns,HTTP403EXCEEDEDSLICEDATARATEToUE,
Slice capacity is restored to UDR,<object> Slice capacity <relationship> is restored to <object> UDR.,SliceCapacity,isRestoredTo,UDR,
Restoration of slice capacity occurs when sessions terminate,<object> Restoration of slice capacity <relationship> occurs when <object> sessions terminate.,RestorationOfSliceCapacity,occursWhen,SessionsTerminate,
Restoration of slice capacity occurs when GBR rules are modified downward,<object> Restoration of slice capacity <relationship> occurs when <object> GBR rules are modified downward.,RestorationOfSliceCapacity,occursWhen,GBRRulesAreModifiedDownward,
Multiple PCFs can synchronously enforce slice caps,<object> Multiple PCFs <relationship> can synchronously enforce <object> slice caps.,MultiplePCFs,canSynchronouslyEnforce,SliceCaps,
Slice cap enforcement uses conditional UDR updates with etags,<object> Slice cap enforcement <relationship> uses <object> conditional UDR updates with etags.,SliceCapEnforcement,uses,ConditionalUDRUpdatesWithEtags,
Maximum Group Data Rate control is extended to VN groups,<object> Maximum Group Data Rate control <relationship> is extended to <object> VN groups.,MaximumGroupDataRateControl,isExtendedTo,VNGroups,
Emergency services can bypass slice data rate limits,<object> Emergency services <relationship> can bypass <object> slice data rate limits.,EmergencyServices,canBypass,SliceDataRateLimits,
Prioritized services can bypass slice data rate limits,<object> Prioritized services <relationship> can bypass <object> slice data rate limits.,PrioritizedServices,canBypass,SliceDataRateLimits,
Bypassing slice data rate limits is based on operator policy,<object> Bypassing slice data rate limits <relationship> is based on <object> operator policy.,BypassingSliceDataRateLimits,isBasedOn,OperatorPolicy,
Slice caps apply across non-GBR flows,<object> Slice caps <relationship> apply across <object> non-GBR flows.,SliceCaps,applyAcross,NonGBRFlows,
Slice caps apply across GBR flows,<object> Slice caps <relationship> apply across <object> GBR flows.,SliceCaps,applyAcross,GBRFlows,
Non-GBR flows are enforced via Session-AMBR,<object> Non-GBR flows <relationship> are enforced via <object> Session-AMBR.,NonGBRFlows,areEnforcedVia,SessionAMBR,
Control-plane functions are architecturally isolated from user-plane,<object> Control-plane functions <relationship> are <object> architecturally isolated from user-plane.,ControlPlaneFunctions,are,ArchitecturallyIsolatedFromUserPlane,
MANO is a critical CP asset,<object> MANO <relationship> is <object> critical CP asset.,MANO,is,CriticalCPAsset,
NFVO is a critical CP asset,<object> NFVO <relationship> is <object> critical CP asset.,NFVO,is,CriticalCPAsset,
VNF orchestrators are critical CP assets,<object> VNF orchestrators <relationship> are <object> critical CP assets.,VNFOrchestrators,are,CriticalCPAssets,
UPF serves as primary User-Plane NF in 5GC,<object> UPF <relationship> serves as <object> primary User-Plane NF in 5GC.,UPF,servesAs,PrimaryUserPlaneNFIn5GC,
UPF handles packet forwarding,<object> UPF <relationship> handles <object> packet forwarding.,UPF,handles,PacketForwarding,
UPF handles QoS,<object> UPF <relationship> handles <object> QoS.,UPF,handles,QoS,
UPF handles buffering,<object> UPF <relationship> handles <object> buffering.,UPF,handles,Buffering,
UPF handles usage reporting,<object> UPF <relationship> handles <object> usage reporting.,UPF,handles,UsageReporting,
UPF handles mobility anchoring,<object> UPF <relationship> handles <object> mobility anchoring.,UPF,handles,MobilityAnchoring,
UPF interconnects RAN and Data Networks,<object> UPF <relationship> interconnects <object> RAN and Data Networks.,UPF,interconnects,RANAndDataNetworks,
UPF performs reflective QoS marking,<object> UPF <relationship> performs <object> reflective QoS marking.,UPF,performs,ReflectiveQoSMarking,
UPF performs application-specific flow detection,<object> UPF <relationship> performs <object> application-specific flow detection.,UPF,performs,ApplicationSpecificFlowDetection,
UPF uses N3 reference point,<object> UPF <relationship> uses <object> N3 reference point.,UPF,uses,N3ReferencePoint,
